date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,Price_Change,Price_Change_5d,Price_Change_20d,Volatility,Volume_SMA,Volume_Ratio,Year,Month,Day,DayOfWeek,Quarter,Close_Lag1,Close_Lag5,Close_Lag20,Close_Rolling_Mean_5,Close_Rolling_Std_5,Close_Rolling_Min_5,Close_Rolling_Max_5
2023-01-03 00:00:00-05:00,89.05589098881593,90.50719363495864,87.99227027137619,88.58869934082031,28131200,0.0,0.0,,,,88.58869934082031,88.58869934082031,0.0,0.0,0.0,,,,,,,,,,,2023,1,3,1,1,,,,,,,
2023-01-04 00:00:00-05:00,89.81136487760658,90.10957942105821,86.7497248892918,87.55490112304688,34854800,0.0,0.0,,,,88.02872530619302,88.05191949697641,-0.023194190783385693,-0.012885661546325384,-0.01030852923706031,,,,,-0.011669639869033244,,,,,,2023,1,4,2,1,88.58869934082031,,,,,,
2023-01-05 00:00:00-05:00,86.94854453006714,87.04794685839362,85.38790446521591,85.68611145019531,27194400,0.0,0.0,,,,87.11440257717776,87.20190763591016,-0.087505058732404,-0.04346738170455432,-0.04403767702784968,,,,,-0.021344204023772795,,,,,,2023,1,5,3,1,87.55490112304688,,,,,,
2023-01-06 00:00:00-05:00,86.27259646181945,87.16723256780065,84.35410198384751,86.8193130493164,41381500,0.0,0.0,,,,87.02125434546635,87.09495090872115,-0.07369656325479923,-0.05370761935707631,-0.01998894389772292,,,,,0.013225032387888858,,,,,,2023,1,6,4,1,85.68611145019531,,,,,,
2023-01-09 00:00:00-05:00,87.83323150806754,89.51315879032069,87.33621232007889,87.49525451660156,29003900,0.0,0.0,87.22885589599609,,,87.15003849789825,87.18778296648046,-0.03774446858220415,-0.048958942900962504,0.011214474318758355,,,,,0.007785611790100289,,,,,,2023,1,9,0,1,86.8193130493164,,,87.22885589599609,1.0693729094532622,85.68611145019531,88.58869934082031
2023-01-10 00:00:00-05:00,85.46742707274271,88.1413852775039,85.31831979229013,87.89287567138672,30467800,0.0,0.0,87.08969116210938,,,87.33058701157442,87.32900741165551,0.0015795999189123222,-0.0352601879081523,0.036839787827064624,,,,,0.004544488235184385,-0.007854542109898333,,,,,2023,1,10,1,1,87.49525451660156,88.58869934082031,,87.08969116210938,0.8759491466089437,85.68611145019531,87.89287567138672
2023-01-11 00:00:00-05:00,88.64834941552648,91.05392064821854,88.47936469889615,90.97439575195312,26862000,0.0,0.0,87.77359008789062,,,88.14369018327595,87.97732083078522,0.16636935249073304,0.01576686978013559,0.15060248271059745,,,,,0.03505995289183139,0.039055433619879176,,,,,2023,1,11,2,1,87.89287567138672,87.55490112304688,,87.77359008789062,1.9751625483079638,85.68611145019531,90.97439575195312
2023-01-12 00:00:00-05:00,90.93462754297335,91.32230187548615,89.21493793718011,90.58670806884766,30258100,0.0,0.0,88.75370941162109,,,88.65351036150078,88.39775777108412,0.25575259041666243,0.07343995138156982,0.1823126390350926,,,,,-0.004261503249359588,0.05719242635372468,,,,,2023,1,12,3,1,90.97439575195312,85.68611145019531,,88.75370941162109,1.8945952494631788,86.8193130493164,90.97439575195312
2023-01-13 00:00:00-05:00,90.30839060576042,91.64040605676044,89.59268171673492,91.5708236694336,26329200,0.0,0.0,89.70401153564453,,,89.23065876966689,88.86807579533537,0.36258297433151654,0.14023342412894127,0.22234955020257527,,,,,0.010863796925239644,0.054728728588512965,,,,,2023,1,13,4,1,90.58670806884766,86.8193130493164,,89.70401153564453,1.8732883826048639,87.49525451660156,91.5708236694336
2023-01-17 00:00:00-05:00,91.51117191070365,91.70004163197335,89.51316020385387,90.74576568603516,32602400,0.0,0.0,90.35411376953125,,,89.51777094148086,89.12717872528228,0.3905922161985842,0.19632832686047594,0.19426388933810826,,,,,-0.009010053097008863,0.03715071391462543,,,,,2023,1,17,1,1,91.5708236694336,87.49525451660156,,90.35411376953125,1.4256855391154288,87.89287567138672,91.5708236694336
2023-01-18 00:00:00-05:00,91.59069806310823,92.24676705092286,90.09964045506904,90.5767822265625,29116700,0.0,0.0,90.89089508056641,,,89.71154447208517,89.31519275863337,0.3963517134517929,0.24009230092581146,0.1562594125259814,,,,,-0.0018621635752935628,0.030536110403422745,,,,,2023,1,18,2,1,90.74576568603516,87.89287567138672,,90.89089508056641,0.4127754875192014,90.5767822265625,91.5708236694336
2023-01-19 00:00:00-05:00,90.17916608131551,93.05193648946374,90.08969868047147,92.49527740478516,37000400,0.0,0.0,91.19507141113282,,,90.20648304891492,89.70591626413555,0.500566784779366,0.2960312961794929,0.20453548859987308,,,,,0.02118087142269931,0.016717688974585698,,,,,2023,1,19,3,1,90.5767822265625,90.97439575195312,,91.19507141113282,0.8345640317174831,90.5767822265625,92.49527740478516
2023-01-20 00:00:00-05:00,94.53305558762652,97.71398319511445,94.45353069105923,97.4356460571289,63191100,0.0,0.0,92.56485900878906,,,91.46174037930625,90.61145271514584,0.8502876641604047,0.4133312001958235,0.4369564639645812,,,,,0.053412117796277414,0.07560643425827918,,,,,2023,1,20,4,1,92.49527740478516,90.58670806884766,,92.56485900878906,2.827501730092074,90.5767822265625,97.4356460571289
2023-01-23 00:00:00-05:00,97.36606416611731,99.44360849206205,96.91874989248586,99.19509887695312,40005100,0.0,0.0,94.08971405029297,,,92.77848441917617,91.57549833108565,1.2029860880905119,0.5785275919173389,0.624458496173173,77.65679522223681,,,,0.018057588685691073,0.08326096568752961,,,,,2023,1,23,0,1,97.4356460571289,91.5708236694336,,94.08971405029297,3.978854235210181,90.5767822265625,99.19509887695312
