model,mse,rmse,mae,mape,r2
ARIMA,33.37508423437481,5.777117294496868,2.3781826832351527,1.276805217742213,0.9581753806515403
SARIMA,39.15003356413843,6.256998766512459,2.529805678008383,1.3793095510547866,0.9509383934494156
